uri,concurrency,requests,qps,tpr,t_90
/param/1?param=no-optimize,500,30000,8798.06,56.831,38
/param/1?param=no-optimize,500,30000,12122.04,41.247,9
/param/1?param=no-optimize,500,30000,13277.41,37.658,8
/param/1?param=no-optimize,500,30000,23441.13,21.33,4
/param/1?param=no-optimize,500,30000,24082.59,20.762,4
/param/1?param=no-optimize,500,30000,24421.3,20.474,4
/param/1?param=no-optimize,500,30000,25193.46,19.846,4
/param/1?param=no-optimize,500,30000,27995.0,17.86,4
/param/1?param=no-optimize,500,30000,24997.73,20.002,4
/param/1?param=no-optimize,500,30000,23908.69,20.913,4
uri,concurrency,requests,qps,tpr,t_90
/param/10?param=no-optimize,500,30000,6976.03,71.674,31
/param/10?param=no-optimize,500,30000,12955.04,38.595,7
/param/10?param=no-optimize,500,30000,14434.55,34.639,6
/param/10?param=no-optimize,500,30000,23092.41,21.652,4
/param/10?param=no-optimize,500,30000,26719.01,18.713,4
/param/10?param=no-optimize,500,30000,24353.18,20.531,4
/param/10?param=no-optimize,500,30000,24357.51,20.528,4
/param/10?param=no-optimize,500,30000,24391.39,20.499,4
/param/10?param=no-optimize,500,30000,25930.99,19.282,4
/param/10?param=no-optimize,500,30000,28158.17,17.757,4
uri,concurrency,requests,qps,tpr,t_90
/param/50?param=no-optimize,500,30000,8172.15,61.183,28
/param/50?param=no-optimize,500,30000,12767.36,39.162,7
/param/50?param=no-optimize,500,30000,18179.14,27.504,5
/param/50?param=no-optimize,500,30000,24065.26,20.777,4
/param/50?param=no-optimize,500,30000,27785.55,17.995,4
/param/50?param=no-optimize,500,30000,26136.23,19.131,4
/param/50?param=no-optimize,500,30000,24398.87,20.493,4
/param/50?param=no-optimize,500,30000,26511.18,18.86,3
/param/50?param=no-optimize,500,30000,27325.47,18.298,4
/param/50?param=no-optimize,500,30000,24415.73,20.479,4
uri,concurrency,requests,qps,tpr,t_90
/param/100?param=no-optimize,500,30000,8378.72,59.675,23
/param/100?param=no-optimize,500,30000,12806.42,39.043,7
/param/100?param=no-optimize,500,30000,15733.11,31.78,7
/param/100?param=no-optimize,500,30000,19518.59,25.617,5
/param/100?param=no-optimize,500,30000,24064.24,20.778,4
/param/100?param=no-optimize,500,30000,24189.63,20.67,4
/param/100?param=no-optimize,500,30000,23346.98,21.416,4
/param/100?param=no-optimize,500,30000,24547.49,20.369,4
/param/100?param=no-optimize,500,30000,24119.94,20.73,4
/param/100?param=no-optimize,500,30000,24284.24,20.589,4
uri,concurrency,requests,qps,tpr,t_90
/param/200?param=no-optimize,500,30000,8533.96,58.589,24
/param/200?param=no-optimize,500,30000,11841.01,42.226,9
/param/200?param=no-optimize,500,30000,4556.28,109.739,6
/param/200?param=no-optimize,500,30000,23745.24,21.057,4
/param/200?param=no-optimize,500,30000,27774.85,18.002,4
/param/200?param=no-optimize,500,30000,23527.53,21.252,5
/param/200?param=no-optimize,500,30000,28750.72,17.391,4
/param/200?param=no-optimize,500,30000,31765.09,15.741,3
/param/200?param=no-optimize,500,30000,30459.95,16.415,3
/param/200?param=no-optimize,500,30000,27928.77,17.903,4
uri,concurrency,requests,qps,tpr,t_90
/param/500?param=no-optimize,500,30000,8160.67,61.27,46
/param/500?param=no-optimize,500,30000,12034.54,41.547,8
/param/500?param=no-optimize,500,30000,17331.66,28.849,6
/param/500?param=no-optimize,500,30000,23027.03,21.714,5
/param/500?param=no-optimize,500,30000,23550.58,21.231,4
/param/500?param=no-optimize,500,30000,24284.89,20.589,4
/param/500?param=no-optimize,500,30000,24042.08,20.797,4
/param/500?param=no-optimize,500,30000,24591.25,20.332,3
/param/500?param=no-optimize,500,30000,26999.91,18.519,4
/param/500?param=no-optimize,500,30000,26090.72,19.164,4
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/1,500,30000,8724.74,57.308,21
/path/no-optimize/1,500,30000,10493.59,47.648,11
/path/no-optimize/1,500,30000,14550.88,34.362,7
/path/no-optimize/1,500,30000,22885.83,21.848,5
/path/no-optimize/1,500,30000,23375.1,21.39,4
/path/no-optimize/1,500,30000,24315.89,20.563,4
/path/no-optimize/1,500,30000,23527.53,21.252,4
/path/no-optimize/1,500,30000,23918.03,20.905,4
/path/no-optimize/1,500,30000,23717.8,21.081,4
/path/no-optimize/1,500,30000,23837.49,20.975,4
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/10,500,30000,8620.96,57.998,27
/path/no-optimize/10,500,30000,11781.28,42.44,11
/path/no-optimize/10,500,30000,17278.04,28.938,6
/path/no-optimize/10,500,30000,18211.82,27.455,6
/path/no-optimize/10,500,30000,19625.97,25.476,5
/path/no-optimize/10,500,30000,20053.62,24.933,6
/path/no-optimize/10,500,30000,19499.12,25.642,6
/path/no-optimize/10,500,30000,17751.64,28.166,6
/path/no-optimize/10,500,30000,19427.76,25.736,5
/path/no-optimize/10,500,30000,18360.56,27.232,6
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/50,500,30000,6243.82,80.079,82
/path/no-optimize/50,500,30000,8585.0,58.241,25
/path/no-optimize/50,500,30000,10127.39,49.371,14
/path/no-optimize/50,500,30000,10512.16,47.564,14
/path/no-optimize/50,500,30000,10926.43,45.761,11
/path/no-optimize/50,500,30000,10802.92,46.284,14
/path/no-optimize/50,500,30000,11091.2,45.081,19
/path/no-optimize/50,500,30000,10680.36,46.815,14
/path/no-optimize/50,500,30000,11297.17,44.259,11
/path/no-optimize/50,500,30000,11348.92,44.057,12
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/100,500,30000,4650.86,107.507,81
/path/no-optimize/100,500,30000,6389.78,78.25,47
/path/no-optimize/100,500,30000,7599.35,65.795,31
/path/no-optimize/100,500,30000,7634.99,65.488,38
/path/no-optimize/100,500,30000,7928.71,63.062,38
/path/no-optimize/100,500,30000,7699.17,64.942,32
/path/no-optimize/100,500,30000,7921.16,63.122,35
/path/no-optimize/100,500,30000,7688.95,65.028,38
/path/no-optimize/100,500,30000,7655.99,65.308,24
/path/no-optimize/100,500,30000,7836.66,63.803,36
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/200,500,30000,3031.11,164.956,154
/path/no-optimize/200,500,30000,4156.25,120.301,123
/path/no-optimize/200,500,30000,4758.15,105.083,81
/path/no-optimize/200,500,30000,4685.66,106.709,72
/path/no-optimize/200,500,30000,4678.35,106.875,71
/path/no-optimize/200,500,30000,4706.33,106.24,102
/path/no-optimize/200,500,30000,4614.08,108.364,80
/path/no-optimize/200,500,30000,4655.67,107.396,84
/path/no-optimize/200,500,30000,4740.79,105.468,76
/path/no-optimize/200,500,30000,4749.03,105.285,82
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/500,500,30000,1281.84,390.063,1110
/path/no-optimize/500,500,30000,1693.98,295.163,1074
/path/no-optimize/500,500,30000,1747.61,286.105,1035
/path/no-optimize/500,500,30000,1744.78,286.569,336
/path/no-optimize/500,500,30000,1754.32,285.01,1044
/path/no-optimize/500,500,30000,1747.65,286.098,1045
/path/no-optimize/500,500,30000,1761.55,283.84,1037
/path/no-optimize/500,500,30000,1756.2,284.706,1032
/path/no-optimize/500,500,30000,1749.97,285.718,1015
/path/no-optimize/500,500,30000,1763.0,283.608,1017
uri,concurrency,requests,qps,tpr,t_90
/param/1?param=optimize,500,30000,7822.21,63.921,37
/param/1?param=optimize,500,30000,12777.9,39.13,10
/param/1?param=optimize,500,30000,9102.39,54.931,6
/param/1?param=optimize,500,30000,30293.12,16.505,3
/param/1?param=optimize,500,30000,31603.3,15.821,3
/param/1?param=optimize,500,30000,24829.57,20.137,4
/param/1?param=optimize,500,30000,26079.38,19.172,4
/param/1?param=optimize,500,30000,26163.15,19.111,4
/param/1?param=optimize,500,30000,27486.25,18.191,3
/param/1?param=optimize,500,30000,26944.54,18.557,4
uri,concurrency,requests,qps,tpr,t_90
/param/10?param=optimize,500,30000,6982.27,71.61,23
/param/10?param=optimize,500,30000,13502.5,37.03,7
/param/10?param=optimize,500,30000,18138.99,27.565,4
/param/10?param=optimize,500,30000,23431.07,21.339,4
/param/10?param=optimize,500,30000,24173.53,20.684,5
/param/10?param=optimize,500,30000,26556.38,18.828,4
/param/10?param=optimize,500,30000,23884.76,20.934,4
/param/10?param=optimize,500,30000,26347.04,18.977,4
/param/10?param=optimize,500,30000,24813.12,20.151,3
/param/10?param=optimize,500,30000,26591.17,18.803,4
uri,concurrency,requests,qps,tpr,t_90
/param/50?param=optimize,500,30000,8819.63,56.692,29
/param/50?param=optimize,500,30000,12828.48,38.976,9
/param/50?param=optimize,500,30000,14761.77,33.871,6
/param/50?param=optimize,500,30000,21815.29,22.92,5
/param/50?param=optimize,500,30000,27592.04,18.121,4
/param/50?param=optimize,500,30000,24954.83,20.036,4
/param/50?param=optimize,500,30000,24197.65,20.663,4
/param/50?param=optimize,500,30000,25829.47,19.358,4
/param/50?param=optimize,500,30000,27719.21,18.038,4
/param/50?param=optimize,500,30000,26843.24,18.627,4
uri,concurrency,requests,qps,tpr,t_90
/param/100?param=optimize,500,30000,8127.96,61.516,19
/param/100?param=optimize,500,30000,9114.56,54.857,7
/param/100?param=optimize,500,30000,21116.72,23.678,4
/param/100?param=optimize,500,30000,23787.3,21.02,4
/param/100?param=optimize,500,30000,24234.47,20.632,4
/param/100?param=optimize,500,30000,24328.02,20.552,4
/param/100?param=optimize,500,30000,26338.04,18.984,4
/param/100?param=optimize,500,30000,26482.77,18.88,4
/param/100?param=optimize,500,30000,26893.62,18.592,4
/param/100?param=optimize,500,30000,26466.51,18.892,4
uri,concurrency,requests,qps,tpr,t_90
/param/200?param=optimize,500,30000,6977.22,71.662,21
/param/200?param=optimize,500,30000,15558.74,32.136,7
/param/200?param=optimize,500,30000,23689.29,21.107,4
/param/200?param=optimize,500,30000,24384.02,20.505,4
/param/200?param=optimize,500,30000,27711.68,18.043,4
/param/200?param=optimize,500,30000,24240.9,20.626,4
/param/200?param=optimize,500,30000,24285.91,20.588,4
/param/200?param=optimize,500,30000,24309.8,20.568,5
/param/200?param=optimize,500,30000,24190.82,20.669,4
/param/200?param=optimize,500,30000,25244.56,19.806,4
uri,concurrency,requests,qps,tpr,t_90
/param/500?param=optimize,500,30000,6982.43,71.608,21
/param/500?param=optimize,500,30000,15314.03,32.65,7
/param/500?param=optimize,500,30000,17985.53,27.8,5
/param/500?param=optimize,500,30000,24456.46,20.444,4
/param/500?param=optimize,500,30000,25921.6,19.289,4
/param/500?param=optimize,500,30000,25695.12,19.459,3
/param/500?param=optimize,500,30000,26781.53,18.67,4
/param/500?param=optimize,500,30000,27374.24,18.265,4
/param/500?param=optimize,500,30000,26579.7,18.811,4
/param/500?param=optimize,500,30000,28589.78,17.489,3
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/1,500,30000,9178.63,54.474,19
/path/optimize/1,500,30000,11258.67,44.41,8
/path/optimize/1,500,30000,11322.46,44.16,5
/path/optimize/1,500,30000,24057.68,20.783,4
/path/optimize/1,500,30000,30766.14,16.252,4
/path/optimize/1,500,30000,26891.67,18.593,3
/path/optimize/1,500,30000,26531.56,18.845,4
/path/optimize/1,500,30000,27715.47,18.04,4
/path/optimize/1,500,30000,27273.47,18.333,4
/path/optimize/1,500,30000,26648.26,18.763,4
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/10,500,30000,8683.35,57.581,21
/path/optimize/10,500,30000,9099.91,54.946,7
/path/optimize/10,500,30000,20689.37,24.167,4
/path/optimize/10,500,30000,24732.27,20.216,4
/path/optimize/10,500,30000,25569.17,19.555,5
/path/optimize/10,500,30000,24589.66,20.334,4
/path/optimize/10,500,30000,25327.23,19.742,4
/path/optimize/10,500,30000,28275.9,17.683,4
/path/optimize/10,500,30000,29530.03,16.932,3
/path/optimize/10,500,30000,24549.44,20.367,4
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/50,500,30000,9089.55,55.008,22
/path/optimize/50,500,30000,12869.21,38.852,7
/path/optimize/50,500,30000,20161.86,24.799,4
/path/optimize/50,500,30000,24091.84,20.754,4
/path/optimize/50,500,30000,24226.92,20.638,4
/path/optimize/50,500,30000,24057.76,20.783,4
/path/optimize/50,500,30000,24478.07,20.426,4
/path/optimize/50,500,30000,23411.42,21.357,4
/path/optimize/50,500,30000,23935.55,20.889,4
/path/optimize/50,500,30000,24060.29,20.781,4
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/100,500,30000,8461.16,59.094,24
/path/optimize/100,500,30000,11980.32,41.735,8
/path/optimize/100,500,30000,17385.32,28.76,6
/path/optimize/100,500,30000,23865.61,20.951,4
/path/optimize/100,500,30000,23922.51,20.901,4
/path/optimize/100,500,30000,23076.0,21.668,4
/path/optimize/100,500,30000,21118.15,23.676,4
/path/optimize/100,500,30000,21018.35,23.789,4
/path/optimize/100,500,30000,23724.59,21.075,4
/path/optimize/100,500,30000,23403.82,21.364,4
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/200,500,30000,6980.19,71.631,19
/path/optimize/200,500,30000,9103.91,54.921,6
/path/optimize/200,500,30000,20985.83,23.826,4
/path/optimize/200,500,30000,23798.46,21.01,4
/path/optimize/200,500,30000,23361.23,21.403,4
/path/optimize/200,500,30000,23134.14,21.613,4
/path/optimize/200,500,30000,23749.92,21.053,5
/path/optimize/200,500,30000,22685.85,22.04,5
/path/optimize/200,500,30000,22784.99,21.944,4
/path/optimize/200,500,30000,23928.67,20.895,4
uri,concurrency,requests,qps,tpr,t_90
/path/optimize/500,500,30000,7210.24,69.346,46
/path/optimize/500,500,30000,10449.53,47.849,17
/path/optimize/500,500,30000,13281.61,37.646,15
/path/optimize/500,500,30000,15239.43,32.81,7
/path/optimize/500,500,30000,15595.37,32.061,7
/path/optimize/500,500,30000,15341.27,32.592,7
/path/optimize/500,500,30000,15575.25,32.102,7
/path/optimize/500,500,30000,14248.4,35.092,8
/path/optimize/500,500,30000,14148.41,35.34,7
/path/optimize/500,500,30000,14642.07,34.148,7
